Country,Human Development Index (HDI) ,HDI Group,HDI rank,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank 2018,Change in HDI rank (2014-2019),Inequality-adjusted HDI,Gender Inequality Index,"Maternal mortality ratio (2017, deaths per 100,000 live births)","Adolescent birth rate (2015-2020, births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),"Female population with at least some secondary education (2015-2019, % ages 25 and older)","Male population with at least some secondary education (2015-2019, % ages 25 and older)",Female labour force participation rate (% ages 15 and older),Male labour force participation rate (% ages 15 and older),Population (millions),Average annual population growth 2015-2020 (%),Urban population (%),Population under age 5 years (millions),Population age 15-64 years (millions),Population age 65+ years (millions),Median age (years),"Total fertility rate (2015-2020, births per woman)","Infants exclusively breastfed (2010-2019, % ages 0–5 months)",Infants lacking DTP immunization (% of one-year-olds),Infants lacking measles immunization (% of one-year-olds),"Child malnutrition - stunting (moderate or severe) (2010-2019, % under age 5)","Infant mortality (2018, per 1,000 live births)","Child under 5y mortality (2018, per 1,000 live births)","Adult female mortality (2018, per 1,000 people)","Adult male mortality (2018, per 1,000 people)","Female mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Male mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Malaria incidence (2018, per 1,000 people at risk)","Tuberculosis incidence (2018, per 100,000 people)","HIV prevalence, adult (2018, % ages 15–49)",Healthy life expectancy at birth (years),"Current health expenditure (2017, % of GDP)","Adult literacy rate (2008-2018, % ages 15 and older)","Female youth literacy rate (2008-2018, % ages 15–24)","Male youth literacy rate (2008-2018, % ages 15–24)","Population with at least some secondary education (2015-2019, % ages 25 and older)","Pre-primary gross enrollment ratio (2014-2019, % of preschool-age children)","Primary gross enrollment ratio (2014-2019, % of primary school–age population)","Secondary gross enrollment ratio (2014-2019, % of secondary school–age population)","Tertiary gross enrollment ratio (2014-2019, % of tertiary school–age population)","Government expenditure on education  (2013-2018, % of GDP)",Total GDP (2017 PPP $ billions),Per capita GDP (2017 PPP $ billions),Annual growth in per capita GDP (%),"Total tax revenue (2014-2019, % of GDP)",Consumer price index (2010=100),Employment to population ratio (% ages 15 and older),"Prison population (2013-2018, per 100,000 people)","Homicide rate (2013-2018, per 100,000 people)","Female suicide rate (2016, per 100,000 people)","Male suicide rate (2016, per 100,000 people)","Depth of food deficit (Average dietary energy supply adequacy, 2017/2019, %)",Exports and imports (% of GDP),"Net migration rate (2015/2020, per 1,000 people)",Stock of immigrants (% of population),"Internet users (2018, % of population)","Female internet users (2018, % of female population)","Mobile phone subscriptions (2018, per 100 people)","Mobile phone subscriptions (2010-2018, % change)"
country,hdi,hdi_group,hdi_rank,life,educ_expected,educ_mean,gni,gni_rank_minus_hdi_rank,hdi_rank_18,hdi_change_1419,hdi_ineq,gii,mort_maternal,birth_adol,parl_f,educ_f,educ_m,labor_f,labor_m,pop,pop_change,urban,pop_lt5,pop_15_64,pop_ge65,age_median,fertility,breast,dtp_vax_no,measles_vax_no,stunt,mort_infant,mort_lt5,mort_adult_f,mort_adult_m,mort_ncd_f,mort_ncd_m,malaria,tb,hiv,life_healthy,cur_health_expen,literacy_adult,literacy_youth_f,literacy_youth_m,educ,educ0,educ1,educ2,educ3,educ_spending,gdp_total,gdp_percap,gdp_percap_growth,tax,cpi,employ,prison,homicide,suicide_f,suicide_m,food_deficit,trade,migration,immigrant,internet,internet_f,phone,phone_change
Norway,0.957,Very high,1,82.4,18.06615,12.89775,66494.25217,7,1,0,0.899,0.045,2,5.141,40.82840237,95.3928,94.8599762,60.37,67.192,5.378859,0.834,82.6,0.301197,3.513165,0.929073,39.836,1.68,..,1,3,..,2.054028,2.542996,38.861,62.494,261.9,365.4,..,4.1,0.1,70.837303,10.446342,..,..,..,94.92075574,95.36525,100.26021,116.87442,81.99235,7.9761,340.3032114,63633.10196,0.474165157,23.86175,120.2696589,61.669,79.8,0.468343712,6.5,13.6,133,72.1465,5.273,16.13288846,96.4917,97,107.174,-7.427
Ireland,0.955,Very high,2,82.31,18.70529,12.6663305,68370.58737,4,3,7,0.885,0.093,5,7.515,24.31192661,81.92398,79.94372604,55.973,68.365,4.882498,1.191,63.4,0.321521,3.155396,0.694436,38.246,1.8409,..,2,9,..,3.137176,3.657057,41.591,71.299,299.7,404.9,..,7,0.2,70.352336,7.184383,..,..,..,81.11964622,163.43983,100.85278,125.30712,77.78062,3.71973,428.8253809,86781.3904,3.966385124,18.26235,106.5843263,59.008,82.2,0.87160546,4.2,17.6,150,239.2151,4.923,17.07250084,84.5223,85.7,103.171,-0.06
Switzerland,0.955,Very high,2,83.78,16.32844,13.38081241,69393.52076,3,2,0,0.889,0.025,5,2.763,38.61788618,95.56618,96.75691,62.904,73.754,8.591361,0.845,73.8,0.448925,5.689315,1.618437,43.053,1.535,..,2,5,..,3.661978,4.123066,35.896,58.204,237,343.2,..,6.4,..,72.023775,12.346322,..,..,..,96.14852,103.58897,105.19068,102.48743,59.56299,5.11332,588.4721015,68627.82868,0.216690541,10.08093,99.54691302,65.126,77.4,0.586468024,6.9,15.8,134,119.4385,6.135,29.93737316,89.6861,88.5231,129.609,6.103
"Hong Kong, China (SAR)",0.949,Very high,4,84.86,16.92947,12.27996,62984.76553,7,4,7,0.824,..,..,2.705,..,77.0914338,82.9151,53.984,67.507,7.436157,0.847,100,0.34533,5.218336,1.301201,44.79,1.3262,..,..,..,..,..,..,33.104,61.901,..,..,..,67,..,..,..,..,..,..,79.40018,106.40481,108.61767,107.48979,76.92223,3.32259,449.6397022,59892.866,-1.930604108,..,134.5930529,57.893,111.7,0.651136341,..,..,137,352.8222,3.992,39.56687825,89.4159,88.0177,259.426,61.42
Iceland,0.949,Very high,4,82.99,19.08309,12.77278684,54682.38057,14,4,4,0.894,0.058,4,6.269,38.0952381,100,100,70.846,79.225,0.339037,0.656,93.9,0.020713,0.220924,0.051502,37.491,1.77,..,3,7,..,1.532353,1.961822,38.181,65.669,283.6,351.8,..,2.7,0.1,72.315244,8.326291,..,..,..,100,94.08853,100.35144,117.51671,71.84501,7.45988,20.1879847,55873.95057,-0.504942727,23.4449,129.0033312,72.9,40.4,0.890969137,4.7,21.7,145,85.91668,1.132,15.45699361,99.011,99.413,126.137,19.66
Germany,0.947,Very high,6,81.33,16.97719,14.15168,55314.35355,11,4,-3,0.869,0.084,7,8.095,31.61953728,95.85821,96.32719,55.275,66.565,83.517046,0.482,77.4,3.987424,53.983518,18.008544,45.744,1.586,..,2,3,1.7,3.087433,3.660457,48.026,86.511,295.9,445.5,..,7.3,0.1,69.719783,11.246835,..,..,..,96.08825,109.1274,104.02236,98.40928,70.24665,4.80093,4473.821955,53815.3654,0.289556721,11.5059,112.8548873,58.961,79.1,0.947976619,4.8,13.6,138,88.09866,6.569,15.72391121,89.7391,84.1628,129.324,19.955
Sweden,0.945,Very high,7,82.8,19.48234,12.54847,54507.80504,12,7,-3,0.882,0.039,4,5.076,47.27793696,89.28605,89.54352356,61.384,67.766,10.036391,0.673,87.7,0.597668,6.240216,2.027215,41.078,1.85,..,2,3,..,2.194107,2.709537,38.431,62.062,273.4,369.8,..,5.5,..,71.388579,11.018746,..,..,..,89.30195,96.32934,126.57538,152.86068,66.98824,7.66993,547.2381029,53205.05601,0.110251761,27.91103,110.5092198,60.381,61.3,1.083072677,7.4,15.8,127,90.4859,4.027,19.97941688,92.1417,93.6805,125.12,8.057
Australia,0.944,Very high,8,83.44,21.95433,12.72469119,48084.84207,15,7,-2,0.867,0.097,6,11.715,36.56387665,91.02507,90.94452,60.3,70.855,25.2032,1.269,86.1,1.654865,16.332508,4.012686,37.875,1.8316,..,2,5,2,3.107906,3.688607,44.673,75.835,247.1,342.5,..,6.6,0.1,70.305492,9.205948,..,..,..,90.98537,164.55399,100.33898,150.31148,113.14216,5.27163,1262.034238,49756.30671,0.363735767,22.98582,119.7970864,62.067,172.6,0.891632403,6,17.4,134,45.68621,6.403,29.95361938,86.545,86.1214,113.579,12.02
Netherlands,0.944,Very high,8,82.28,18.48513,12.4148,57707.06867,6,9,-1,0.878,0.043,5,3.788,33.77777778,87.57493,90.31986,58.263,69.083,17.097123,0.231,91.9,0.863311,11.029553,3.351955,43.314,1.66,..,2,6,..,3.297283,3.873533,51.048,65.56,295.1,396.5,..,5.3,..,70.622871,10.100835,..,..,..,88.921,94.288,104.22962,135.57512,84.98045,5.4796,990.4227999,57141.37028,1.21591708,23.03592,115.9079949,61.587,65.9,0.58618159,6.4,12.9,126,154.3223,0.939,13.3518959,94.7121,94.5693,124.27,9.308
